日期,市场,店铺类型,品牌,子品类,系列,是否进口,表面材质,规格,香味,置入方式,片数,包数,销售额,销量,均价
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,290,其他,其他,19,1,31558.5300,5850,5.39462051
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,290,其他,其他,32,4,72839.1500,2081,35.00199423
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,290,其他,其他,48,6,15506.9100,593,26.14993255
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,290,其他,其他,8,1,133172.9000,21271,6.26077288
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,290,无香味,其他,10,2,13936.0000,268,52.00000000
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,290,无香味,其他,16,1,164603.3800,5893,27.93201765
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,290,无香味,其他,5,1,1367.4000,106,12.90000000
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,290,无香味,其他,8,1,126529.9200,13261,9.54150667
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,290,有香味,其他,14,1,236.1000,7,33.72857143
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,350,无香味,其他,24,2,4512.0000,188,24.00000000
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,350,无香味,其他,6,1,19973.0600,2257,8.84938414
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,350,无香味,其他,8,1,49709.0000,4372,11.36985361
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,410,其他,其他,12,2,27627.2600,995,27.76609045
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,410,无香味,其他,3,1,49909.2000,3367,14.82304722
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,410,无香味,其他,32,1,8923.0000,177,50.41242938
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,410,无香味,其他,4,1,13293.0000,1144,11.61975524
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,410,无香味,其他,48,8,1157.3500,26,44.51346154
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,410,无香味,其他,6,1,1948.7000,285,6.83754386
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,410,无香味,其他,6,2,95077.5000,2960,32.12077703
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,410,无香味,其他,8,1,215103.9000,16849,12.76656775
1709,阿里,天猫超市,Ladycare/洁婷,护垫,其他,国产,棉柔亲肤,145,其他,其他,40,1,25963.7000,3805,6.82357424
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,丝柔超薄,245,无香味,其他,16,2,165872.3400,11463,14.47023816
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,丝柔超薄,245,无香味,其他,8,1,80637.6900,7432,10.85006593
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,240,无香味,其他,10,1,147668.9400,18905,7.81110500
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,240,无香味,其他,16,2,93142.4600,6500,14.32960923
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,240,无香味,其他,20,1,112656.7000,5663,19.89346636
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,240,无香味,其他,20,2,146132.5300,15739,9.28474045
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,240,无香味,其他,30,1,53539.0000,2504,21.38138978
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,240,无香味,其他,30,3,6667.9700,593,11.24446880
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,240,无香味,其他,40,1,88567.8000,3982,22.24203918
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,240,无香味,其他,5,1,16505.9000,5879,2.80760333
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,240,无香味,其他,60,12,59679.3600,1486,40.16107672
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,240,无香味,其他,64,8,3424.1700,135,25.36422222
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,240,无香味,其他,8,1,34469.6200,4314,7.99017617
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,245,无香味,其他,10,2,1892.8000,112,16.90000000
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,245,无香味,其他,16,1,1029.6000,52,19.80000000
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,245,无香味,其他,16,2,113.7000,4,28.42500000
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,245,无香味,其他,24,1,7943.3600,291,27.29676976
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,245,无香味,其他,5,1,5284.3000,511,10.34109589
1709,阿里,天猫超市,Ladycare/洁婷,日用,其他,国产,棉柔亲肤,245,无香味,其他,8,1,8286.3000,853,9.71430246
1709,阿里,天猫超市,Ladycare/洁婷,裤型,其他,国产,棉柔亲肤,其他,无香味,其他,12,4,32395.9000,673,48.13655275
1709,阿里,天猫超市,Ladycare/洁婷,裤型,其他,国产,棉柔亲肤,其他,无香味,其他,9,1,4838.2000,138,35.05942029
1709,阿里,天猫超市,Ladycare/洁婷,迷你,其他,国产,棉柔亲肤,180,无香味,其他,10,1,97824.2900,16105,6.07415647
1709,阿里,天猫超市,Ladycare/洁婷,迷你,其他,国产,棉柔亲肤,180,无香味,其他,12,1,30575.7400,8632,3.54213855
1709,阿里,天猫超市,Ladycare/洁婷,迷你,其他,国产,棉柔亲肤,180,无香味,其他,20,1,208438.3000,31007,6.72229819
1709,阿里,天猫超市,Ladycare/洁婷,迷你,其他,国产,棉柔亲肤,180,无香味,其他,24,2,1327.2000,135,9.83111111
1709,阿里,天猫超市,Ladycare/洁婷,迷你,其他,国产,棉柔亲肤,180,无香味,其他,30,3,6327.9000,357,17.72521008
1709,阿里,天猫超市,Ladycare/洁婷,迷你,其他,国产,棉柔亲肤,180,无香味,其他,36,3,3381.5000,190,17.79736842
1709,阿里,天猫超市,Ladycare/洁婷,迷你,其他,国产,棉柔亲肤,180,无香味,其他,40,1,132288.2000,11368,11.63689303
1709,阿里,天猫超市,Ladycare/洁婷,迷你,其他,国产,棉柔亲肤,180,无香味,其他,48,4,46807.3400,1486,31.49888291
1709,阿里,天猫超市,Ladycare/洁婷,迷你,其他,国产,棉柔亲肤,180,无香味,其他,72,6,229213.3100,7943,28.85727181
1709,阿里,天猫超市,Ladycare/洁婷,迷你,其他,国产,棉柔亲肤,180,无香味,其他,80,4,21644.3000,767,28.21942634
1709,阿里,天猫超市,Libresse/轻曲线,其他,其他,其他,其他,其他,其他,其他,其他,其他,2501.9100,78,32.07576923
1709,阿里,天猫超市,Libresse/轻曲线,夜用,其他,国产,丝柔超薄,320,其他,其他,10,1,1006.0600,31,32.45354839
1709,阿里,天猫超市,Libresse/轻曲线,夜用,其他,国产,丝柔超薄,320,其他,其他,20,1,2004.1900,41,48.88268293
1709,阿里,天猫超市,Libresse/轻曲线,护垫,其他,国产,丝柔超薄,150,其他,其他,32,1,2526.7200,68,37.15764706
1709,阿里,天猫超市,Libresse/轻曲线,日用,其他,国产,丝柔超薄,240,其他,其他,10,1,4676.1000,189,24.74126984
1709,阿里,天猫超市,Libresse/轻曲线,日用,其他,国产,丝柔超薄,284,其他,其他,16,1,2067.0300,63,32.81000000
1709,阿里,天猫超市,Libresse/轻曲线,日用,其他,国产,丝柔超薄,284,其他,其他,8,1,5865.3000,147,39.90000000
1709,阿里,天猫超市,Libresse/轻曲线,日用,其他,进口,丝柔超薄,240,其他,其他,20,1,2428.2700,75,32.37693333
1709,阿里,天猫超市,o．b．,其他,其他,其他,其他,其他,其他,其他,其他,其他,37989.0000,850,44.69294118
1709,阿里,天猫超市,o．b．,卫生棉条,其他,进口,其他,其他,其他,其他,16,1,20993.1000,469,44.76140725
